ID	TR02_TYPE	ORG_NAME	SECTOR_ID	ORG_NETWORK_BIT	ORG_PARTICIPANT_BIT	ORG_NB_EMPLOY	ORG_URL	ORG_BHR_URL	ORG_DATE_CREATE	ORG_DATE_MODIFICATION	ORG_DATE_JOINING	ORG_DATE_DELISTED	ORG_ACTIVE	ORG_ISGLOBAL500	TR01_COUNTRY_ID	ORG_STATUS_COP	ORG_COP_ALERT	ORG_UN_SPEC	ORG_PART_MAIL	ORG_30DAYS_TO_COP	ORG_90DAYS_TO_COP	ORG_TODAY_COPDUE	ORG_TODAY_INACT	ORG_30DAYS_TO_INACT	ORG_90DAYS_TO_INACT	ORG_MEMBER_ONEYEAR	ORG_LISTED_STATUS	ORG_LIST_CODE	ORG_LIST_EXCHANGE_CODE	ORG_PARENT_NAME	ORG_PARENT_LIST_CODE	TR11_REASON	ORG_LAST_MODIFIED_BY	ORG_JOIN_LETTER
6756	Company	Telefonica Moviles S.A.	110	FALSE	TRUE	1200	http://www.movistar.com.pe		10/25/2007	3/16/2009	10/25/2007		TRUE	FALSE	PE	2			0	2/7/2010	12/9/2009	3/9/2010	3/9/2011	2/7/2011	12/9/2010	10/24/2008	0		ZXXZ	This feature was never implemented		0	123896823	
8754	Company	Telefonica Movistar Ecuador	110	FALSE	TRUE	1083	http://www.movistar.com.ec		12/11/2008	12/11/2008	12/11/2008		TRUE	FALSE	EC	2			0	11/11/2010	9/12/2010	12/11/2010	12/11/2011	11/11/2011	9/12/2011	12/11/2009	1		ZXXZ	All		0		pdf
6757	Company	Telefónica S.A.	28	FALSE	TRUE	170000	http://www.telefonica.es		10/26/2005	9/6/2007	4/24/2002		TRUE	TRUE	ES	2			0	1/18/2010	11/19/2009	2/17/2010	2/17/2011	1/18/2011	11/19/2010	4/24/2003	2	TEF	MCE					
6758	Company	Telekomunikacja Polska S.A.	28	FALSE	TRUE	27900	http://www.tp.pl		2/1/2006	2/1/2006	2/1/2006		TRUE	FALSE	PL	2			0	10/21/2009	8/22/2009	11/20/2009	11/20/2010	10/21/2010	8/22/2010	2/1/2007	2	TPS	WAR					
6759	Company	Telemig Celular S/A	21	FALSE	TRUE	0	http://www.telemigcelular.com.br		10/26/2005		7/1/2003		TRUE	FALSE	BR	0			0	2/5/2008	12/7/2007	3/6/2008	3/6/2009	2/4/2009	12/6/2008	6/30/2004	2	TMGC13	SAO					
6760	Company	Telenor	110	FALSE	TRUE	31750	http://www.telenor.com/	T/Telenor	10/26/2005	1/21/2009	8/23/2001		TRUE	TRUE	NO	2			0	12/22/2009	10/23/2009	1/21/2010	1/21/2011	12/22/2010	10/23/2010	8/23/2002	2	TEL	OSL	All		0		
8657	SME	Telephone Equipment(NSW) P/L	18	FALSE	TRUE	75	http://www.te-telequip.com		11/19/2008	11/19/2008	11/19/2008		TRUE	FALSE	AU	2			0	10/20/2010	8/21/2010	11/19/2010	11/19/2011	10/20/2011	8/21/2011	11/19/2009	1		ZXXZ	All		0		pdf
6761	SME	"Telesistema, C. por A."	21	FALSE	TRUE	195			5/23/2008	5/23/2008	10/19/2006		TRUE	FALSE	DO	1			0	9/18/2008	7/20/2008	10/18/2008	10/18/2009	9/18/2009	7/20/2009	5/23/2009	0		ZXXZ	All		0		
6762	SME	Teliani Valley	14	FALSE	TRUE	96	http://www.telianivalley.com		8/10/2007	8/10/2007	8/10/2007		TRUE	FALSE	GE	2			0	7/18/2010	5/19/2010	8/17/2010	8/17/2011	7/18/2011	5/19/2011	8/9/2008			ZXXZ					
6763	Company	Telvent	17	FALSE	TRUE	1240	http://www.telvent.com		10/26/2005		10/7/2002		TRUE	FALSE	ES	2			0	12/20/2009	10/21/2009	1/19/2010	1/19/2011	12/20/2010	10/21/2010	10/7/2003	2	TLVT	NASDAQ					
6764	NGO Local	TEMA Foundation	101	FALSE	TRUE	119	http://www.tema.org.tr		3/19/2008	4/17/2008	3/19/2008		TRUE	FALSE	TR	2			0								0		ZXXZ	All		0		
6765	Company	Tembec Inc.	26	FALSE	TRUE	10000	http://www.tembec.com		10/26/2005		6/17/2004	6/17/2008	FALSE	FALSE	CA	3			0	5/18/2006	3/19/2006	6/17/2006	6/17/2007	5/18/2007	3/19/2007	6/17/2005	2	TBC	TSE			3		
6766	Academic	Temple University	101	FALSE	FALSE	0			10/26/2005		10/26/2005		TRUE	FALSE	US	2			0							10/26/2006			ZXXZ					
9395	SME	Tendris	13	FALSE	TRUE	50	http://www.tendris.com		5/6/2009	5/6/2009	5/6/2009		TRUE	FALSE	NL	2			0	4/6/2011	2/5/2011	5/6/2011	5/5/2012	4/5/2012	2/5/2012	5/6/2010	1		ZXXZ	All		0	87806823	pdf
8475	SME	Tenejoma S.L.U	9	FALSE	TRUE	27			10/20/2008	10/20/2008	10/20/2008		TRUE	FALSE	ES	2			0	9/20/2010	7/22/2010	10/20/2010	10/20/2011	9/20/2011	7/22/2011	10/20/2009	0		ZXXZ	All		0		pdf
6767	Company	Teo LT	28	FALSE	TRUE	2099	http://www.telecom.lt		10/26/2005	5/31/2007	6/14/2005		TRUE	FALSE	LT	2			0	4/5/2010	2/4/2010	5/5/2010	5/5/2011	4/5/2011	2/4/2011	6/14/2006	2	TEO1L	VSE					
6768	SME	TEP - Belgruzavtotrans - LLC	31	FALSE	TRUE	170	http://www.belgruz.ru		8/26/2007	8/26/2007	8/26/2007		TRUE	FALSE	BY	2			0	7/7/2010	5/8/2010	8/6/2010	8/6/2011	7/7/2011	5/8/2011	8/25/2008	0		ZXXZ					
8183	SME	"Tepesa, TP Servicios Integrales De Proteccion Civil, S.A."	11	FALSE	TRUE	33	http://alentis.es		9/2/2008	9/2/2008	9/2/2008		TRUE	FALSE	ES	2			0	8/3/2010	6/4/2010	9/2/2010	9/2/2011	8/3/2011	6/4/2011	9/2/2009	0		ZXXZ	All		0		pdf
6769	SME	Tequilarapido	17	FALSE	TRUE	10	http://www.tequilarapido.com		5/16/2006	5/16/2006	5/16/2006		TRUE	FALSE	FR	0			0	4/15/2008	2/15/2008	5/15/2008	5/15/2009	4/15/2009	2/14/2009	5/16/2007			ZXXZ					
8341	Business Association Local	"Tercera Vida, C.A."	101	FALSE	TRUE	30			9/28/2008	9/28/2008	9/28/2008		TRUE	FALSE	VE	2			0	8/29/2010	6/30/2010	9/28/2010	9/28/2011	8/29/2011	6/30/2011	9/28/2009	0		ZXXZ	All		0		pdf
6770	NGO Local	TERI	101	FALSE	TRUE	0			10/26/2005		5/22/2003		TRUE	FALSE	IN	2			0							5/21/2004			ZXXZ					
6771	Company	"Termo Envases, S.A."	32	FALSE	TRUE	400			5/23/2008	5/23/2008	10/18/2006		TRUE	FALSE	DO	1			0	9/17/2008	7/19/2008	10/17/2008	10/17/2009	9/17/2009	7/19/2009	5/23/2009	0		ZXXZ	All		0		
6772	SME	Termopernambuco S/A	12	FALSE	TRUE	10	http://www.termope.com.br		3/29/2007	3/29/2007	3/29/2007		TRUE	FALSE	BR	2			0	3/28/2010	1/27/2010	4/27/2010	4/27/2011	3/28/2011	1/27/2011	3/28/2008			ZXXZ					
6773	SME	Termoyopal Generacion 2 S.A. E.S.P.	32	FALSE	TRUE	33			10/26/2005		10/13/2005		TRUE	FALSE	CO	0			0	9/13/2007	7/15/2007	10/13/2007	10/12/2008	9/12/2008	7/14/2008	10/13/2006			ZXXZ					
8250	SME	Terra Nova - Regularizacoes Fundiarias	11	FALSE	TRUE	30	http://www.grupoterranova.com.br/		9/4/2008	9/4/2008	9/4/2008		TRUE	FALSE	BR	2			0	8/5/2010	6/6/2010	9/4/2010	9/4/2011	8/5/2011	6/6/2011	9/4/2009	1		ZXXZ	All		0		pdf
6774	NGO Local	Terre Initiative Limited	101	FALSE	TRUE	0	http://www.terre.org		12/12/2006	4/17/2008	12/12/2006		TRUE	FALSE	GB	2			0							12/12/2007	0		ZXXZ	All		0		
6775	Company	Tersuave S.A.	9	FALSE	TRUE	300	http://www.tersuave.com.ar		10/26/2005		7/26/2004		TRUE	FALSE	AR	2			0	12/8/2009	10/9/2009	1/7/2010	1/7/2011	12/8/2010	10/9/2010	7/26/2005			ZXXZ					
6776	Company	Tesa SE	5	FALSE	TRUE	3500	http://www.tesa.com		3/7/2006	5/12/2009	3/15/2007		TRUE	FALSE	DE	2			0	2/1/2010	12/3/2009	3/3/2010	3/3/2011	2/1/2011	12/3/2010	3/14/2008	0		ZXXZ	This feature was never implemented		0	134146823	
6777	Mailing List	Tesco Stores Limited	101	FALSE	FALSE	0			4/11/2007	4/11/2007			FALSE	FALSE	GB	2													ZXXZ					
6778	Academic	Test	101	FALSE	FALSE	1			7/24/2007	7/24/2007			FALSE	FALSE	US	2													ZXXZ					
6779	Public Sector Organization	Test1	101	FALSE	FALSE	0			7/30/2007	7/30/2007			FALSE	FALSE	US	2													ZXXZ					
6780	SME	"Tetra Pak Dominicana, S.A."	11	FALSE	TRUE	11			5/23/2008	10/7/2008	9/25/2006		FALSE	FALSE	DO	1			0	8/25/2008	6/26/2008	9/24/2008	9/24/2009	8/25/2009	6/26/2009	9/25/2007	0		ZXXZ	All		0		
6781	Company	Tetra Pak Group	14	FALSE	TRUE	20000	http://www.tetrapak.com		10/26/2005		4/27/2004		TRUE	FALSE	SW	2			0	6/30/2010	5/1/2010	7/30/2010	7/30/2011	6/30/2011	5/1/2011	4/27/2005	1		ZXXZ					
6782	SME	Tetra Pak Limited	14	FALSE	TRUE	140	http://www.tetrapak.com		5/5/2006	5/5/2006	5/5/2006		TRUE	FALSE	KE	2			0	7/1/2010	5/2/2010	7/31/2010	7/31/2011	7/1/2011	5/2/2011	5/5/2007			ZXXZ					
6783	Company	Tetra Pak S.R.L.	14	FALSE	TRUE	362	http://www.tetrapak.com.ar		10/26/2005		10/12/2004		TRUE	FALSE	AR	2			0	7/19/2010	5/20/2010	8/18/2010	8/18/2011	7/19/2011	5/20/2011	10/12/2005			ZXXZ					
6784	SME	Tetra Pak Ukraine	32	FALSE	TRUE	202	http://www.tetrapak.ua		5/9/2006	7/31/2009	5/9/2006		TRUE	FALSE	UA	0			0	4/8/2008	2/8/2008	5/8/2008	5/8/2009	4/8/2009	2/7/2009	5/9/2007	0		ZXXZ	This feature was never implemented		0	87806823	pdf
6785	SME	Tetreault Parent Languedoc et Associes Inc.	11	FALSE	TRUE	32			10/26/2005		6/1/2005	6/1/2009	FALSE	FALSE	CA	3			0	5/2/2007	3/3/2007	6/1/2007	5/31/2008	5/1/2008	3/2/2008	6/1/2006			ZXXZ			3		
6786	Company	Texlan (Lanka) Ltd.	29	FALSE	TRUE	550			10/26/2005		4/22/2003	4/22/2007	FALSE	FALSE	LK	0			0	3/22/2005	1/21/2005	4/21/2005	4/21/2006	3/22/2006	1/21/2006	4/21/2004			ZXXZ			3		
7945	SME	Texmo Precision Castings	32	FALSE	TRUE	150	http://www.texmoprecisioncastings.com		7/17/2008	7/17/2008	7/17/2008		TRUE	FALSE	IN	2			0	6/17/2010	4/18/2010	7/17/2010	7/17/2011	6/17/2011	4/18/2011	7/17/2009	0		ZXXZ	All		0		pdf
6787	Company	"Textil Santanderina, S.A."	29	FALSE	TRUE	295	http://www.textilsantanderina.com		10/26/2005		3/20/2002		TRUE	FALSE	ES	2			0	11/23/2009	9/24/2009	12/23/2009	12/23/2010	11/23/2010	9/24/2010	3/20/2003			ZXXZ					
