"ID","REQUEST_ID","LOGO_ID"
532,178,15
533,179,15
534,180,16
535,181,15
536,181,17
537,182,15
538,183,15
539,184,15
540,185,15
541,186,15
545,189,15
546,189,17
549,192,15
551,193,15
552,194,15
555,197,15
556,197,18
557,200,15
559,199,15
560,201,15
561,201,18
564,206,15
566,207,15
567,207,18
568,205,15
569,205,17
572,210,15
573,210,17
574,213,15
575,213,18
576,215,15
577,214,15
579,216,15
580,216,18
583,218,15
590,229,15
591,231,15
592,227,15
593,226,15
595,228,15
597,234,15
601,240,15
602,240,18
603,236,15
607,239,15
608,239,18
615,235,15
616,235,17
619,246,15
620,247,15
621,247,17
622,249,15
623,249,19
629,253,15
630,253,18
631,254,15
632,254,18
633,255,15
634,255,17
637,248,15
638,261,15
639,261,17
644,259,15
645,260,15
646,260,17
647,264,15
648,264,18
649,265,15
650,265,17
652,269,15
653,270,15
656,272,15
658,279,15
659,278,15
660,277,15
661,275,15
662,275,18
665,273,15
666,281,15
668,223,15
669,223,18
670,307,15
674,305,15
676,285,15
677,301,15
678,300,15
679,297,15
680,286,15
681,295,15
682,287,15
684,289,15
685,290,15
686,291,15
687,292,15
690,302,15
691,302,17
692,303,15
693,303,17
694,304,15
695,304,17
696,306,15
698,310,15
699,311,15
700,312,15
701,313,15
702,313,17
703,314,15
704,318,15
705,318,17
708,322,15
711,320,15
712,321,15
713,324,15
716,326,15
717,326,18
724,330,15
725,330,18
727,331,17
729,333,15
730,333,18
731,332,15
732,332,18
733,341,15
734,337,15
735,337,18
736,338,15
737,338,18
739,339,15
740,339,18
742,344,15
745,345,15
749,349,15
750,335,15
752,342,15
753,353,15
754,356,15
762,363,15
765,361,15
766,364,15
770,371,15
774,369,15
775,370,15
776,373,15
778,375,15
779,375,17
780,377,15
781,379,15
782,379,17
783,387,15
785,382,15
786,382,18
789,385,15
792,389,15
793,389,17
794,390,15
795,390,18
796,391,15
797,393,15
798,392,15
799,392,18
803,396,15
805,400,15
578,211,15
808,403,15
809,403,17
811,388,15
813,417,15
819,411,15
822,414,15
823,415,15
824,416,15
827,418,15
828,418,18
830,420,15
833,422,15
834,422,18
835,427,15
836,425,15
837,424,15
838,428,15
839,428,17
841,316,15
842,431,15
843,430,15
844,432,15
845,432,18
846,433,15
847,433,18
848,435,15
849,436,15
850,438,15
851,441,15
852,442,15
853,442,18
854,443,15
855,443,18
856,439,15
857,440,15
860,447,15
861,448,15
863,449,15
866,453,15
867,453,17
872,457,15
873,457,18
874,458,15
875,459,15
876,459,18
877,460,15
878,460,17
879,461,15
881,465,15
882,465,18
883,464,15
884,464,18
885,466,15
886,466,16
887,466,17
892,478,15
893,478,18
894,477,15
895,474,15
896,473,15
898,471,15
899,471,17
900,470,15
901,470,16
902,469,15
903,469,16
904,468,15
908,482,15
911,485,15
913,487,15
914,487,17
915,488,15
916,488,17
917,489,15
918,491,15
919,493,15
920,495,15
927,502,15
928,501,15
929,503,15
931,507,15
932,508,15
933,512,15
934,510,15
935,510,17
938,490,15
939,490,18
940,517,15
941,517,17
942,520,15
945,514,15
946,516,15
948,521,15
949,521,16
950,522,15
951,522,16
952,522,17
954,525,15
955,525,18
960,518,15
962,534,15
964,536,15
965,533,15
966,526,18
967,526,19
969,540,15
970,541,15
971,541,17
972,542,15
973,542,19
974,554,15
978,544,15
979,548,15
980,556,15
981,545,15
984,531,15
985,555,15
991,551,15
992,551,18
995,559,15
997,561,15
1004,567,15
1007,569,15
1009,570,15
1010,570,18
1011,572,15
1012,572,18
1013,572,19
1014,577,15
1024,584,15
1025,581,15
1026,583,15
1027,583,18
1028,582,15
1029,582,17
1032,586,15
1037,593,15
1038,593,18
1039,595,15
1040,595,18
1041,594,15
1047,600,15
1048,601,15
1052,609,15
1053,607,15
1054,606,15
1058,599,15
1059,564,15
1060,613,15
1061,622,15
1063,620,15
1064,619,15
1065,618,15
1066,616,15
1069,617,15
1070,626,15
1071,625,15
1072,630,15
1073,630,18
1074,633,15
1075,633,18
1076,635,15
1077,635,18
1078,636,15
1079,636,18
1082,634,15
1087,641,15
1089,638,15
1091,604,15
1094,644,15
1095,645,15
1096,646,15
1097,646,17
1098,648,15
1099,650,15
1102,656,15
1107,662,15
1109,504,15
1110,505,15
1111,654,15
1112,655,15
1113,664,15
1115,666,15
1116,668,15
1117,668,18
1118,672,15
1121,673,15
1122,676,15
1123,675,15
1125,667,15
1126,683,15
1127,683,18
1130,682,15
1131,684,15
1132,685,15
1135,691,15
1136,691,18
1138,687,15
1141,695,15
1147,699,15
1148,699,18
1150,697,15
1151,693,15
1152,701,15
1156,708,15
1157,703,21
1158,703,15
1165,711,15
1166,710,15
1167,714,15
1168,717,15
1169,718,15
1170,660,17
1171,660,19
1175,723,15
1176,724,15
1177,727,15
1178,726,15
1181,728,15
1182,729,15
1187,734,15
1188,734,18
1193,705,15
1194,721,15
1195,721,18
1196,740,15
1198,618,22
1199,743,15
1200,761,15
1206,742,15
1207,747,15
1208,744,15
1212,749,15
1213,749,18
1216,753,15
1218,760,15
1220,762,15
1221,771,15
1227,766,15
1230,764,15
1231,763,15
1232,778,19
1234,751,15
1237,677,15
1238,783,15
1240,781,15
1241,786,15
1244,779,15
1248,775,15
1249,775,18
1250,774,15
1251,774,17
1252,773,15
1253,773,18
1255,789,15
1256,794,15
1260,799,15
1261,799,18
1262,800,15
1263,800,17
1266,793,15
1267,793,17
1270,791,15
1271,790,15
1273,806,15
1278,809,15
1279,809,18
1280,804,15
1281,803,15
1282,803,17
1283,810,15
1284,827,15
1285,827,18
1286,826,15
1287,826,18
1292,817,15
1293,817,19
1295,815,15
1296,815,17
1297,814,15
1298,814,17
1304,858,15
1305,858,18
1306,824,15
1309,830,15
1310,831,15
1313,832,15
1314,835,15
1327,861,15
1330,851,15
1331,851,17
1332,845,15
1333,845,17
1338,870,15
1339,870,17
1340,871,15
1341,871,17
1342,866,15
1344,813,15
1345,813,18
1349,843,15
1350,856,15
1351,856,18
1352,665,15
554,196,15
562,202,15
563,202,17
570,209,15
571,209,18
589,224,17
599,232,15
600,232,18
604,238,15
610,243,15
611,262,15
612,242,15
613,244,15
614,244,17
667,263,15
671,308,15
675,284,15
683,288,15
689,294,15
697,309,15
720,327,15
721,327,17
726,331,15
747,351,15
748,351,18
756,354,15
757,340,15
758,340,18
767,365,15
768,366,15
772,368,15
773,368,17
777,374,15
784,380,15
801,397,15
807,402,15
816,406,15
817,406,17
818,410,15
1219,760,22
586,219,15
859,446,15
862,450,15
888,444,15
907,481,15
909,483,15
923,434,15
924,496,15
936,511,15
956,527,15
959,524,15
963,535,15
983,547,15
989,550,15
990,550,18
994,558,15
998,562,15
999,562,17
1000,563,15
1001,563,17
1023,579,15
1030,221,15
1033,587,15
1035,589,15
1044,590,15
1045,590,18
1046,598,15
1049,602,15
1050,602,18
1051,610,15
1128,680,15
1129,680,22
1133,686,15
1134,686,17
1137,689,21
1143,692,15
1145,698,15
1146,698,18
1149,694,15
1155,709,15
1160,716,15
1161,715,15
1164,713,15
1185,732,15
1186,733,15
1189,736,15
1190,737,21
1191,737,15
1192,735,15
1197,739,15
1203,758,15
1204,757,15
1209,745,15
1222,769,15
1233,770,15
1247,776,15
1257,795,15
1275,802,15
1301,819,15
1318,849,15
1319,849,18
1320,859,15
1321,859,18
1334,868,15
1335,868,17
1346,872,15
1347,872,17
542,188,15
543,188,17
544,187,15
547,190,15
548,190,17
550,154,15
840,315,15
1086,639,15
1090,605,15
1103,657,15
1104,657,18
1105,658,15
1106,658,18
581,217,15
582,217,18
584,220,15
585,220,17
594,203,15
598,230,15
609,241,15
624,250,15
625,251,15
626,251,17
627,252,15
628,252,17
657,280,15
672,283,15
673,298,15
688,293,15
706,317,15
714,325,15
715,325,18
722,328,15
723,329,15
741,343,15
744,346,15
746,347,15
759,358,15
761,360,15
769,367,15
800,394,15
802,395,15
804,399,15
812,378,15
832,398,15
868,454,15
869,454,17
905,480,15
906,480,17
926,500,15
930,506,15
943,519,15
947,515,15
953,523,19
961,530,15
968,539,15
975,552,15
977,543,15
982,546,15
993,557,15
1008,571,15
1017,574,15
1018,574,17
1021,566,15
1022,566,17
1031,585,15
1042,596,15
1043,596,17
1055,611,15
1057,608,15
1068,615,15
1119,671,15
1139,423,15
1140,423,17
1142,696,19
1159,704,15
1183,730,15
1184,730,17
1205,741,15
553,195,15
558,198,15
565,204,15
1083,637,15
1084,637,19
1085,640,15
1088,603,15
1092,643,15
1108,661,15
1114,663,15
1225,767,15
1226,767,17
1235,746,21
1236,746,15
1242,785,15
1245,777,15
1246,777,22
1254,784,15
1274,801,15
1288,811,15
1289,808,15
1290,808,17
1291,816,15
1299,820,15
1307,822,15
1308,822,18
1316,846,15
1322,854,15
1323,854,18
1324,852,15
1325,852,17
1326,862,15
1329,853,15
1343,867,15
1348,874,15
587,225,15
588,225,17
596,233,15
605,237,15
606,237,17
617,245,15
618,245,17
635,256,15
636,256,17
640,257,15
641,257,17
642,258,15
643,258,17
651,266,15
654,271,15
655,271,18
663,274,15
664,274,18
707,323,15
709,319,15
710,319,17
728,334,15
738,336,15
743,348,15
751,352,15
755,355,15
760,357,15
763,362,15
764,359,15
788,384,15
790,386,15
791,386,17
814,405,15
815,405,17
820,412,15
821,413,15
829,419,15
1124,681,15
1144,670,15
1153,702,15
1154,679,15
1162,712,15
1163,712,18
1172,722,15
1173,722,17
1174,720,15
1179,731,15
1180,731,17
1201,759,15
1202,759,18
806,400,17
810,404,15
831,421,15
858,445,15
864,451,15
865,451,18
870,455,15
871,455,17
880,462,15
889,467,15
890,479,15
891,479,18
897,472,15
910,484,15
912,486,15
921,497,15
922,498,15
925,499,15
937,475,15
944,513,15
957,528,15
958,528,17
976,553,15
986,549,15
987,549,18
988,549,19
996,560,15
1002,565,15
1003,565,17
1005,568,15
1006,568,17
1015,576,15
1016,576,18
1019,575,15
1020,575,17
1034,588,15
1056,612,15
1062,621,15
1067,614,15
1080,632,15
1081,632,17
1093,647,15
1100,652,15
1101,652,17
1120,674,15
1210,748,15
1211,748,18
1214,755,15
1215,755,17
1217,754,15
1223,768,15
1224,768,18
1228,765,15
1229,765,18
1239,782,15
1243,780,15
1258,788,15
1259,796,15
1264,798,15
1265,798,17
1268,792,15
1269,792,18
1272,797,15
1276,805,15
1277,805,18
1300,821,15
1302,823,15
1303,823,18
1311,834,15
1312,834,18
1315,839,15
1317,847,15
1328,863,15
1336,869,15
1337,869,17
